Detailed Statistics Departures  
Origin Airport: San Francisco, CA: San Francisco International (SFO)
Airline: United Airlines Inc. (UA)
Month(s): December
Day(s): 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2022

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes)
"UA","12/22/2022","0574","N806UA","SAT","18:32","19:55","207","202","83"
"UA","12/22/2022","0583","N68823","IAH","05:15","05:10","233","204","-5"
"UA","12/22/2022","0605","N806UA","PDX","07:34","07:34","114","101","0"
"UA","12/22/2022","0611","N77296","SBA","10:50","10:43","79","74","-7"
"UA","12/22/2022","0683","","EUG","19:00","00:00","100","0","0"
"UA","12/22/2022","0693","N806UA","ABQ","11:13","13:01","148","127","108"
"UA","12/22/2022","0729","N68823","ORD","16:44","16:37","250","269","-7"
"UA","12/22/2022","0753","N61881","ATL","10:45","10:53","282","279","8"
"UA","12/22/2022","0762","N37456","IAH","11:02","11:05","235","216","3"
"UA","12/22/2022","0793","N66897","ORD","08:30","08:57","264","277","27"
"UA","12/22/2022","1041","N37541","SAN","08:25","08:24","103","86","-1"
"UA","12/22/2022","1049","N836UA","RNO","18:47","19:29","64","58","42"
"UA","12/22/2022","1082","N27503","LAX","16:10","16:08","96","85","-2"
"UA","12/22/2022","1111","N76523","LIH","08:33","08:30","361","357","-3"
"UA","12/22/2022","1115","N69816","DEN","14:28","15:35","155","171","67"
"UA","12/22/2022","1124","N472UA","MCI","18:35","18:34","204","205","-1"
"UA","12/22/2022","1167","N836UA","MSP","08:35","08:32","220","219","-3"
"UA","12/22/2022","1175","N2644U","HNL","09:15","09:19","338","326","4"
"UA","12/22/2022","1200","N37470","LAX","18:45","18:48","96","88","3"
"UA","12/22/2022","1204","N473UA","PIT","22:18","22:12","290","277","-6"
"UA","12/22/2022","1216","N63890","DEN","18:45","18:54","156","237","9"
"UA","12/22/2022","1248","N69829","ORD","06:30","06:30","261","255","0"
"UA","12/22/2022","1273","N77536","OGG","11:13","11:56","348","325","43"
"UA","12/22/2022","1411","N57016","EWR","07:00","07:10","314","295","10"
"UA","12/22/2022","1428","N13110","EWR","14:30","22:44","333","312","494"
"UA","12/22/2022","1435","N37468","IAH","14:44","14:41","230","211","-3"
"UA","12/22/2022","1442","N2140U","EWR","08:30","08:28","320","305","-2"
"UA","12/22/2022","1509","N781UA","HNL","16:40","19:59","338","328","199"
"UA","12/22/2022","1513","N14242","SNA","10:57","10:59","97","94","2"
"UA","12/22/2022","1559","N45440","PDX","19:10","19:12","114","101","2"
"UA","12/22/2022","1594","N822UA","SNA","16:42","16:35","93","89","-7"
"UA","12/22/2022","1620","","OMA","18:36","00:00","198","0","0"
"UA","12/22/2022","1665","N19136","BOS","23:30","23:31","337","334","1"
"UA","12/22/2022","1684","N76533","LIH","18:50","18:46","354","365","-4"
"UA","12/22/2022","1721","N777UA","KOA","09:05","14:16","331","313","311"
"UA","12/22/2022","1723","N219UA","KOA","16:45","16:42","329","324","-3"
"UA","12/22/2022","1745","N61887","IAH","13:06","13:20","234","238","14"
"UA","12/22/2022","1749","N214UA","OGG","16:59","17:08","332","314","9"
"UA","12/22/2022","1761","N67845","IAD","23:23","23:44","307","289","21"
"UA","12/22/2022","1770","N880UA","CMH","22:35","22:29","276","471","-6"
"UA","12/22/2022","1788","N803UA","PSP","13:17","16:05","95","88","168"
"UA","12/22/2022","1823","N455UA","DEN","16:08","19:30","152","218","202"
"UA","12/22/2022","1825","N47517","DFW","13:25","13:23","214","192","-2"
"UA","12/22/2022","1826","N768UA","DEN","08:40","08:39","156","214","-1"
"UA","12/22/2022","1852","N773UA","OGG","09:05","09:02","331","312","-3"
"UA","12/22/2022","1893","N77430","IND","22:59","22:58","257","257","-1"
"UA","12/22/2022","1914","N773UA","ORD","22:55","23:15","248","237","20"
"UA","12/22/2022","1927","","ORD","05:15","00:00","262","0","0"
"UA","12/22/2022","1942","N455UA","PDX","10:45","10:44","118","145","-1"
"UA","12/22/2022","1947","N27539","ORD","18:13","18:52","254","228","39"
"UA","12/22/2022","1950","N66828","IAH","18:52","18:51","229","208","-1"
"UA","12/22/2022","1953","N38467","SEA","20:05","20:00","147","130","-5"
"UA","12/22/2022","1954","N77539","DCA","08:47","08:41","311","303","-6"
"UA","12/22/2022","1986","N76508","SEA","08:25","08:24","147","127","-1"
"UA","12/22/2022","1997","N76533","AUS","08:43","08:39","218","199","-4"
"UA","12/22/2022","2002","N26902","IAD","13:00","13:57","292","269","57"
"UA","12/22/2022","2005","","BZN","09:26","00:00","142","0","0"
"UA","12/22/2022","2011","N53442","IAH","00:29","00:30","224","205","1"
"UA","12/22/2022","2027","N879UA","PHX","10:32","10:39","124","122","7"
"UA","12/22/2022","2032","N2737U","IAD","08:30","08:33","295","293","3"
"UA","12/22/2022","2034","N26208","LAX","22:35","22:54","84","90","19"
"UA","12/22/2022","2037","N34137","TPA","09:10","09:04","308","295","-6"
"UA","12/22/2022","2041","N37514","SAN","12:58","12:58","99","83","0"
"UA","12/22/2022","2047","N492UA","SNA","18:53","18:55","92","90","2"
"UA","12/22/2022","2059","N14001","EWR","22:40","22:47","311","304","7"
"UA","12/22/2022","2097","N228UA","EWR","21:00","21:11","312","305","11"
"UA","12/22/2022","2102","N37523","TPA","22:50","23:33","306","279","43"
"UA","12/22/2022","2169","N423UA","PHX","19:10","19:09","123","101","-1"
"UA","12/22/2022","2187","N19136","BOS","08:25","08:23","337","328","-2"
"UA","12/22/2022","2247","N34137","IAD","22:35","22:47","307","294","12"
"UA","12/22/2022","2296","N34460","IAH","07:47","07:38","233","222","-9"
"UA","12/22/2022","2319","N17133","EWR","10:45","11:32","334","322","47"
"UA","12/22/2022","2327","N73270","AUS","23:59","00:12","209","188","13"
"UA","12/22/2022","2329","N62889","LAS","08:47","08:52","102","82","5"
"UA","12/22/2022","2337","N27511","BOS","12:55","13:04","336","323","9"
"UA","12/22/2022","2341","N21108","BOS","10:45","11:00","339","349","15"
"UA","12/22/2022","2356","N406UA","AUS","16:35","18:16","212","186","101"
"UA","12/22/2022","2366","N66893","LAS","22:35","23:55","98","87","80"
"UA","12/22/2022","2368","N76532","DEN","12:55","12:51","157","145","-4"
"UA","12/22/2022","2377","N37507","DEN","06:34","06:27","159","200","-7"
"UA","12/22/2022","2380","N27015","HNL","10:55","11:00","338","341","5"
"UA","12/22/2022","2384","N38257","CLE","23:01","22:58","283","276","-3"
"UA","12/22/2022","2396","N37528","BNA","11:06","11:14","261","257","8"
"UA","12/22/2022","2412","N804UA","DFW","10:30","10:37","217","205","7"
"UA","12/22/2022","2419","N788UA","EWR","12:00","12:33","319","299","33"
"UA","12/22/2022","2423","N2737U","EWR","23:50","23:58","311","336","8"
"UA","12/22/2022","2426","N77865","DEN","05:00","04:58","154","148","-2"
"UA","12/22/2022","2447","","EUG","10:40","00:00","103","0","0"
"UA","12/22/2022","2451","N38467","IAH","09:08","09:08","235","218","0"
"UA","12/22/2022","2458","N38257","LAS","16:50","17:57","99","91","67"
